,seed_list
971,53312586
972,59240603
973,502628
974,38360249
975,96000962
976,30228778
977,61381918
978,85340706
979,61451368
980,88565306
981,54279953
982,52746356
983,73113973
984,75235479
985,86809295
986,82788375
987,27705621
988,27017265
989,55449460
990,11438949
991,48183625
992,97604668
993,10875472
994,26730030
995,77623421
996,47527925
997,84928089
998,34572127
999,40334212
1000,34337288
1001,62022540
1002,24193987
1003,81256335
1004,31350286
1005,58794137
1006,82142556
1007,92800552
1008,45846699
1009,30628245
1010,17202537
1011,37556150
1012,41695943
1013,61074143
1014,48011798
1015,40591128
1016,50280446
1017,19695521
1018,74649727
1019,92486382
1020,92748509
1021,70831991
1022,92792925
1023,69551632
1024,79617743
1025,81265323
1026,80115317
1027,93865827
1028,60778349
1029,81322907
1030,96892342
1031,67425178
1032,88509784
1033,22221518
1034,56566030
1035,85017303
1036,11543244
1037,66377432
1038,56827923
1039,79371470
1040,63998670
1041,37010154
1042,75051750
1043,9739322
1044,54102610
1045,44198927
1046,42459466
1047,25106255
1048,85054553
1049,56141289
1050,59461877
1051,7815472
1052,49780193
1053,68831464
1054,62570274
1055,88531527
1056,45534324
1057,51471336
1058,27174707
1059,79747806
1060,40184133
1061,97216168
1062,98075121
1063,28333541
1064,62134637
1065,46481296
1066,39583875
1067,53433706
1068,17457736
1069,50967029
1070,75573715
1071,67387549
1072,66522728
1073,3222464
1074,26254286
1075,24678081
1076,73608822
1077,10845719
1078,33224581
1079,65187922
1080,82692646
1081,23822040
1082,85742812
1083,63993840
1084,39598203
1085,63896771
1086,66559463
1087,78149969
1088,53835463
1089,17032215
1090,48977933
1091,50480300
1092,32805016
1093,65934088
1094,36839883
1095,99800281
1096,46899062
1097,85389844
1098,41574943
1099,67782189
1100,2272938
1101,54056344
1102,5172684
1103,16701979
1104,92848688
1105,56544002
1106,73570879
1107,30046176
1108,59652849
1109,80591432
1110,48443077
1111,36024569
1112,13374583
1113,75684327
1114,79259613
1115,62271649
1116,86139520
1117,6755139
1118,90709881
1119,26914542
1120,84847088
1121,95807707
1122,43298268
1123,34835560
1124,71376964
1125,18236860
1126,41832245
1127,42813361
1128,47553089
1129,70560848
1130,19745320
1131,46776398
1132,63515624
1133,89019900
1134,93170848
1135,68183189
1136,58920265
1137,44359590
1138,74459862
1139,81529648
1140,7785177
1141,60678289
1142,74653005
1143,83766090
1144,10685011
1145,45004450
1146,11578026
1147,1257614
1148,57763562
1149,47586373
1150,57064095
1151,24964516
1152,49978743
1153,33967451
1154,8913020
1155,44596334
1156,34163858
1157,74055188
1158,47284933
1159,91445776
1160,97207267
1161,38550704
1162,96574230
1163,57549597
1164,95542741
1165,27367751
1166,36760570
1167,70513778
1168,66081112
1169,39755925
1170,89800999
1171,18913154
1172,91188687
1173,10481854
1174,463398
1175,68172466
1176,93066254
1177,35743125
1178,56326809
1179,52371062
1180,49647359
1181,37286473
1182,32875964
1183,18664223
1184,29319346
1185,86394127
1186,63882550
1187,73942737
1188,26131121
1189,47533669
1190,86639888
1191,74298945
1192,45163068
1193,43860157
1194,18827776
1195,96058668
1196,29561449
1197,34251587
1198,70799199
1199,74016049
1200,86907714
1201,35336108
1202,69252686
1203,18286751
1204,95439642
1205,17201487
1206,59599030
1207,20481542
1208,21437320
1209,19167375
1210,5245843
1211,4568639
1212,66484475
1213,79601965
1214,20521085
1215,88076805
1216,5840763
1217,68431593
1218,69928167
1219,86765335
1220,52699781
1221,24303389
1222,35249765
1223,35955366
1224,76750498
1225,48759352
1226,60869053
1227,56139942
1228,14841476
1229,23445359
1230,26828921
1231,90422662
1232,93799367
1233,49831198
1234,65481903
1235,47402113
1236,59551025
1237,81259386
1238,92308568
1239,64229943
1240,71101228
1241,64784447
1242,21849416
1243,98692792
1244,46261120
1245,43870489
1246,89926005
1247,63503286
1248,4305305
1249,5392411
1250,19655768
1251,46973103
1252,49753543
1253,17068829
1254,55019600
1255,60691737
1256,17832479
1257,30859282
1258,89654720
1259,54703184
1260,2995220
1261,27450104
1262,48433842
1263,14926861
1264,66366009
1265,73159344
1266,29719938
1267,25747691
1268,46702289
1269,50397325
1270,90534134
1271,80809496
1272,70623829
1273,52624865
1274,26765913
1275,88475418
1276,96866980
1277,68270438
1278,40220444
1279,86851394
1280,57232173
1281,68443244
1282,27948729
1283,21791489
1284,6689983
1285,29350174
1286,93967269
1287,13675471
1288,68548672
1289,65751831
1290,62453328
1291,11595746
1292,41995108
1293,24737794
1294,41202967
1295,63196448
1296,81287026
1297,80389707
1298,78144938
1299,50260706
1300,3704421
1301,69872379
1302,50875450
1303,51184352
1304,72418967
1305,20591006
1306,90647740
1307,4104476
1308,57870857
1309,70817868
1310,9545822
1311,77790714
1312,10302169
1313,57954510
1314,72006852
1315,88900517
1316,69131053
1317,59543949
1318,26005168
1319,12809619
1320,53314723
1321,70522396
1322,98092267
1323,57130573
1324,33243194
1325,25463565
1326,8085939
1327,62842652
1328,42421898
1329,17454429
1330,39154862
1331,82034375
1332,10646208
1333,61034429
1334,49187806
1335,41720622
1336,99372325
1337,11199363
1338,26533861
1339,10030582
1340,36859675
1341,70016724
1342,29242908
1343,81582423
1344,62710343
1345,56388474
1346,79324106
1347,57262436
1348,2283705
1349,15276141
1350,86541165
1351,31852741
1352,70499192
1353,81178973
1354,97309974
1355,84952201
1356,52049675
1357,1387949
1358,55740349
1359,41973231
1360,10905610
1361,57878012
1362,37817841
1363,92916191
1364,48302013
1365,46167484
1366,21759137
1367,51813919
1368,97946455
1369,5259776
1370,17269151
1371,96669330
1372,80881243
1373,33708808
1374,50887987
1375,91397124
1376,1085280
1377,8127973
1378,8160518
1379,46305689
1380,79285218
1381,73801193
1382,96044688
1383,44230434
1384,85990403
1385,6375353
1386,81237104
1387,1156734
1388,53218942
1389,93320711
1390,11589339
1391,22447580
1392,55053473
1393,92926171
1394,97274421
1395,83712774
1396,81031355
1397,21371379
1398,97333764
1399,30014969
1400,97231866
1401,87601411
1402,19861833
1403,27857121
1404,64250924
1405,35782711
1406,25588758
1407,90072734
1408,62222251
1409,8268608
1410,11678937
1411,82429028
1412,54878736
1413,83358321
1414,48758243
1415,38844228
1416,5534807
1417,5015159
1418,14813842
1419,29796363
1420,28611754
1421,99418634
1422,2094215
1423,23607772
1424,46853009
1425,34999613
1426,92278259
1427,989553
1428,27846648
1429,62415174
1430,14101706
1431,39850043
1432,22176938
1433,94797936
1434,85640863
1435,20446535
1436,96378396
1437,62802168
1438,51987454
1439,36927566
1440,85383289
1441,11974432
1442,72975813
1443,35376117
1444,38922510
1445,13393901
1446,90764771
1447,19069485
1448,97545371
1449,87346904
1450,43567520
1451,22024141
1452,21669238
1453,71223313
1454,39717289
1455,95233339
1456,59436733
1457,73983947
1458,71332111
1459,73650598
1460,10055096
1461,7883244
1462,76860181
1463,7408909
1464,32595080
1465,26661629
1466,46033355
1467,25177183
1468,37598177
1469,20855340
1470,72964669
1471,91063234
1472,17471593
1473,81242656
1474,8371448
1475,38416217
1476,51799610
1477,50807446
1478,74241190
1479,30565882
1480,86450248
1481,69064609
1482,64072324
1483,35111513
1484,61208495
1485,66549421
1486,52406678
1487,6490444
1488,52050049
1489,92148785
1490,16739961
1491,32207678
1492,54674737
1493,34911488
1494,19335840
1495,38932007
1496,51742822
1497,61432263
1498,27754277
1499,60278659
1500,61108094
1501,58112936
1502,9945601
1503,58533874
1504,45458756
1505,2707484
1506,34455403
1507,33411865
1508,29122222
1509,47120555
1510,36287062
1511,35553037
1512,3997330
1513,2496511
1514,25998606
1515,9405634
1516,38561925
1517,80473841
1518,96913518
1519,68939104
1520,99295346
1521,92997438
1522,55236697
1523,79912724
1524,87460669
1525,63549278
1526,65933896
1527,91863512
1528,62834562
1529,24867451
1530,66350019
1531,54023908
1532,68487544
1533,64802523
1534,38240779
1535,6027032
1536,45246990
1537,91237619
1538,48557360
1539,9276959
1540,42217400
1541,73996685
1542,4425837
1543,56681478
1544,66707368
1545,92703084
1546,3981712
1547,95567875
1548,35425795
1549,53649611
1550,5474392
1551,91580619
1552,48327326
1553,3119876
1554,1562922
1555,66715495
1556,70968494
1557,98842927
1558,81867174
1559,37291815
1560,50601329
1561,65246753
1562,82470009
1563,52843640
1564,17282992
1565,63549959
1566,67994127
1567,73382920
1568,94075154
1569,94001426
1570,3386474
1571,81795674
1572,10816910
1573,32422662
1574,88320295
1575,95728881
1576,14615999
1577,65717423
1578,51004898
1579,95737987
1580,52809222
1581,23694274
1582,71173375
1583,60525615
1584,84660152
1585,67361064
1586,88865463
1587,99459072
1588,85580999
1589,53713312
1590,8393863
1591,9146817
1592,36045039
1593,7081779
1594,18924445
1595,17455864
1596,43843828
1597,93301824
1598,52085342
1599,59190314
1600,62625419
1601,97479717
1602,84077568
1603,79030099
1604,34323010
1605,99259007
1606,48191470
1607,94859986
1608,45869622
1609,68479539
1610,54476640
1611,60501056
1612,54719342
1613,27392383
1614,67506838
1615,39835518
1616,58685557
1617,65603331
1618,2290958
1619,71535991
1620,98338977
1621,28413220
1622,49100221
1623,14639229
1624,45980196
1625,93827348
1626,5482379
1627,77661105
1628,63318986
1629,68884326
1630,33642358
1631,12270420
1632,96970554
1633,47293678
1634,26485246
1635,55861616
1636,74130569
1637,48397926
1638,24233401
1639,99371857
1640,11108030
1641,45170228
1642,5336988
1643,87372297
1644,41121625
1645,83029348
1646,19660285
1647,91322657
1648,31640727
1649,92325113
1650,41306617
1651,99355435
1652,6232933
1653,23731916
1654,73444285
1655,25293943
1656,84742999
1657,32872155
1658,77723238
1659,30103673
1660,89531417
1661,33930745
1662,69971064
1663,71788605
1664,3044825
1665,28877758
1666,54595071
1667,52708285
1668,99775607
1669,61877524
1670,72036281
1671,12779417
1672,90875726
1673,86260498
1674,83191485
1675,12380626
1676,53418016
1677,2629524
1678,24737917
1679,30146028
1680,12838443
1681,22229475
1682,13801663
1683,79865200
1684,73029912
1685,37035755
1686,50195557
1687,75364889
1688,21472812
1689,64888744
1690,23179140
1691,54889487
1692,89441541
1693,76296319
1694,52505951
1695,79010839
1696,21515704
1697,26687421
1698,48159947
1699,3924198
1700,4914137
1701,97913537
1702,73376970
1703,7244382
1704,24890007
1705,92704018
1706,14946820
1707,96356681
1708,84570794
1709,78713300
1710,14188072
1711,48516228
1712,87608102
1713,51341636
1714,56995446
1715,16380273
1716,16754859
1717,38404626
1718,25237953
1719,48750851
1720,79206967
1721,52124643
1722,94884624
1723,54961977
1724,85053310
1725,18882598
1726,13414019
1727,38774589
1728,21264940
1729,78595409
1730,58584608
1731,80271684
1732,33747763
1733,9621010
1734,16999434
1735,1481725
1736,77037543
1737,23078527
1738,63316956
1739,12889351
1740,84443283
1741,75833104
1742,88398068
1743,93992435
1744,1651643
1745,39468018
1746,12085790
1747,39993886
1748,22285961
1749,45692715
1750,64903391
1751,74060491
1752,58278861
1753,23703789
1754,11808797
1755,48390741
1756,86064505
1757,12855328
1758,4125974
1759,83709066
1760,42789496
1761,90687379
1762,7406235
1763,49558550
1764,37092990
1765,26087768
1766,81344568
1767,26761295
1768,87601354
1769,70396609
1770,86313384
1771,29414191
1772,39265557
1773,15468207
1774,13899720
1775,72657261
1776,73421711
1777,8049053
1778,39626337
1779,92840386
1780,37292043
1781,65446024
1782,99138509
1783,66889106
1784,1319633
1785,79407067
1786,97460529
1787,91139842
1788,83528750
1789,68465707
1790,25884032
1791,80823852
1792,22354713
1793,27340059
1794,54180153
1795,83686408
1796,99623815
1797,37505118
1798,60660362
1799,4703254
1800,78839257
1801,67324653
1802,43849581
1803,83250616
1804,45939248
1805,65368377
1806,42805206
1807,95053208
1808,69409374
1809,77545384
1810,58630921
1811,61688848
1812,10346186
1813,42284956
1814,45781389
1815,63162980
1816,80577725
1817,98139248
1818,17713930
1819,56863273
1820,78535683
1821,5005323
1822,27572613
1823,46644141
1824,73026457
1825,60961218
1826,88132699
1827,30218621
1828,13523865
1829,2674792
1830,40904832
1831,58709423
1832,78652546
1833,27216481
1834,58772623
1835,48513247
1836,38068532
1837,51281501
1838,45121760
1839,89749972
1840,37829244
1841,78366927
1842,8895275
1843,98377967
1844,99116490
1845,2747743
1846,68472591
1847,83204721
1848,14564561
1849,80073359
1850,12007663
1851,87067087
1852,61276954
1853,85566833
1854,77679910
1855,7259822
1856,57555218
1857,48274542
1858,27165737
1859,99051740
1860,92308001
1861,7167134
1862,49039004
1863,97963641
1864,44339975
1865,72490171
1866,17830481
1867,26977199
1868,74106979
1869,60570268
1870,85282724
1871,1255506
1872,61960016
1873,89743180
1874,51576102
1875,13441267
1876,4257633
1877,99365863
1878,14824090
1879,92991659
1880,51526402
1881,27891657
1882,60459540
1883,63027618
1884,68137803
1885,281303
1886,55456770
1887,40699124
1888,26165436
1889,80748163
1890,65965970
1891,17334165
1892,42177588
1893,94673445
1894,59952491
1895,96529552
1896,60555035
1897,63364315
1898,33633703
1899,75434643
1900,85703429
1901,53905813
1902,18140804
1903,85928175
1904,77212032
1905,49034120
1906,14591051
1907,49322354
1908,11162326
1909,94774814
1910,93669855
1911,91727878
1912,30001972
1913,16771226
1914,29413978
1915,67902998
1916,29611388
1917,26978097
1918,69510623
1919,44870169
1920,45045790
1921,65823108
1922,24155632
1923,7089301
1924,83875164
1925,82891103
1926,1550022
1927,57250261
1928,73391667
1929,49682606
1930,94034310
1931,86576253
1932,18994906
1933,65143154
1934,41493983
1935,29308394
1936,60121470
1937,43508467
1938,44401720
1939,66734572
1940,37855345
1941,13625307
1942,70916221
1943,3391890
1944,278077
1945,45333441
1946,19602186
1947,26528404
1948,93121197
1949,6903424
1950,45148483
1951,1357600
1952,31413457
1953,3837114
1954,65874092
1955,67591013
1956,89499960
1957,97549763
1958,45698801
1959,459153
1960,65465405
1961,4036791
1962,5646479
1963,34787587
1964,34089649
1965,44053435
1966,10148223
1967,16345628
1968,8233908
1969,68745685
1970,24373308
1971,95552567
1972,10819418
1973,8534197
1974,5225127
1975,11688293
1976,53504806
1977,97002902
1978,23588786
1979,14111864
1980,13205426
1981,57530287
1982,1244301
1983,16855839
1984,58703708
1985,26786744
1986,42246901
1987,74629928
1988,32288977
1989,86457719
1990,43430630
1991,21686478
1992,75151054
1993,3145820
1994,42049307
1995,48098894
1996,87484353
1997,18249027
1998,51024728
1999,54969485
2000,97833293
2001,41250033
2002,7546049
2003,19224531
2004,70654659
2005,4001364
2006,33928234
2007,91427626
2008,36272732
2009,86041390
2010,97682805
2011,56456010
2012,49522191
2013,14617592
2014,43274712
2015,64062227
2016,88342650
2017,88648671
2018,48204448
2019,3883063
2020,5976029
2021,56634255
2022,50928639
2023,19483655
2024,63354245
2025,69519267
2026,10039381
2027,64559095
2028,22029111
2029,86756132
2030,28168068
2031,42889051
2032,64540644
2033,21776250
2034,57676207
2035,57461045
2036,27454228
2037,6151176
2038,72570937
2039,77486317
2040,16414408
2041,22999086
2042,98184614
2043,18941379
2044,87557277
2045,62843241
2046,60767509
2047,96232896
2048,58357064
2049,7902497
2050,36466578
2051,5380712
2052,1735944
2053,20093405
2054,25183713
2055,86869415
2056,79299540
2057,58857783
2058,96115474
2059,33355927
2060,48126180
2061,6806137
2062,32729300
2063,39665542
2064,77895508
2065,73137995
2066,44968540
2067,56399764
2068,34190593
2069,61884102
2070,27785565
2071,78727236
2072,77412022
2073,6492410
2074,91065584
2075,15442520
2076,67471069
2077,57395570
2078,7350329
2079,71032470
2080,58739393
2081,92614418
2082,58506363
2083,73355322
2084,8144227
2085,29586492
2086,4947180
2087,56320224
2088,52426492
2089,78355301
2090,82092203
2091,28259057
2092,83363278
2093,17841325
2094,48825509
2095,89314992
2096,41645591
2097,75902330
2098,82124571
2099,90353097
2100,51504838
2101,82430642
2102,80724169
2103,33950839
2104,80192042
2105,82235309
2106,69159767
2107,15082288
2108,29791175
2109,76121291
2110,34602910
2111,69478441
2112,40455047
2113,58106648
2114,42799614
2115,34764535
2116,54360895
2117,64816797
2118,89517522
2119,88116882
2120,36660762
2121,94558466
2122,22177479
2123,38300894
2124,22878147
2125,78756296
2126,86653372
2127,680123
2128,30288457
2129,34948546
2130,97837897
2131,94751755
2132,68676627
2133,45750518
2134,36003456
2135,60552564
2136,7851641
2137,32317460
2138,31198785
2139,32729621
2140,91739835
2141,4737160
2142,89717875
